Latitude,Longitude
39.9134612,32.9649086
39.9134284,32.9657193
39.9133800,32.9657160
39.9137020,32.9659920
39.9142627,32.9659013
39.9646110,32.5839820
39.9133800,32.9657160
39.9137020,32.9659920
39.9646110,32.5839820
39.9646110,32.5839820
39.9646725,32.5840193
39.9646656,32.5840385
39.9645510,32.5843694
39.9644420,32.5846875
39.9643227,32.5850383
39.9639152,32.5860218
39.9639007,32.5860526
39.9637997,32.5863205
39.9637913,32.5863374
39.9637355,32.5864950
39.9636621,32.5867058
39.9635621,32.5870175
39.9634821,32.5873022
39.9634376,32.5874685
39.9633845,32.5876644
39.9633049,32.5879703
39.9632189,32.5883242
39.9630725,32.5890413
39.9630088,32.5894506
39.9629744,32.5896534
39.9628415,32.5904027
39.9627387,32.5910767
39.9627355,32.5910995
39.9626502,32.5917595
39.9625842,32.5923249
39.9625201,32.5927462
39.9624965,32.5928965
39.9623913,32.5935710
39.9622671,32.5943844
39.9621413,32.5952034
39.9620651,32.5956862
39.9619707,32.5963292
39.9618829,32.5968475
39.9618578,32.5970459
39.9617030,32.5980078
39.9616675,32.5982269
39.9616239,32.5984963
39.9616128,32.5985591
39.9615916,32.5987056
39.9615784,32.5987765
39.9615561,32.5988960
39.9615423,32.5989826
39.9614885,32.5993229
39.9613954,32.5999549
39.9613169,32.6005087
39.9612750,32.6008047
39.9611360,32.6016921
39.9609810,32.6026294
39.9608413,32.6034919
39.9607668,32.6039546
39.9607096,32.6043108
39.9605819,32.6051643
39.9605177,32.6055646
39.9604219,32.6061618
39.9603380,32.6067142
39.9602738,32.6071373
39.9601040,32.6079748
39.9599323,32.6086704
39.9597344,32.6093731
39.9595375,32.6099690
39.9592339,32.6107800
39.9589077,32.6116494
39.9586843,32.6122535
39.9586413,32.6123698
39.9583508,32.6131615
39.9580788,32.6138675
39.9578164,32.6146345
39.9576946,32.6150509
39.9575121,32.6157663
39.9573553,32.6166751
39.9572658,32.6173903
39.9571976,32.6180856
39.9571752,32.6183597
39.9571524,32.6186368
39.9571003,32.6195177
39.9570552,32.6203242
39.9570014,32.6212163
39.9569418,32.6221930
39.9568819,32.6230370
39.9568684,32.6232274
39.9567942,32.6239910
39.9567431,32.6244330
39.9566646,32.6251117
39.9566622,32.6251290
39.9565759,32.6257525
39.9565655,32.6258213
39.9564864,32.6263466
39.9563672,32.6271062
39.9562555,32.6277652
39.9557191,32.6304679
39.9557110,32.6305086
39.9556023,32.6309908
39.9554169,32.6319272
39.9552671,32.6326239
39.9550991,32.6335126
39.9549119,32.6343783
39.9548143,32.6348829
39.9546200,32.6357763
39.9544370,32.6366528
39.9543238,32.6372779
39.9541139,32.6383430
39.9539126,32.6392826
39.9538335,32.6396798
39.9536644,32.6405290
39.9534958,32.6413741
39.9532181,32.6427260
39.9530521,32.6435581
39.9526608,32.6454778
39.9524240,32.6465689
39.9521289,32.6481378
39.9520202,32.6487054
39.9519134,32.6492650
39.9516765,32.6491894
39.9516498,32.6493348
39.9516180,32.6495083
39.9515532,32.6498599
39.9513780,32.6508341
39.9512619,32.6515118
39.9510587,32.6525356
39.9509055,32.6533007
39.9508620,32.6535090
39.9507333,32.6541233
39.9505562,32.6550231
39.9503309,32.6562767
39.9501939,32.6570652
39.9499905,32.6583176
39.9498534,32.6591286
39.9498204,32.6593219
39.9497033,32.6600087
39.9495882,32.6607267
39.9494169,32.6617885
39.9492998,32.6625356
39.9492788,32.6626698
39.9492228,32.6630075
39.9492067,32.6631050
39.9490465,32.6640697
39.9488494,32.6651496
39.9486902,32.6661837
39.9486766,32.6662644
39.9486151,32.6666276
39.9484698,32.6675652
39.9484471,32.6677047
39.9484119,32.6679209
39.9483380,32.6683385
39.9482909,32.6686207
39.9482277,32.6690009
39.9481792,32.6693066
39.9481427,32.6695390
39.9480937,32.6698514
39.9480238,32.6702255
39.9479906,32.6704040
39.9478752,32.6710193
39.9477588,32.6715236
39.9474852,32.6725072
39.9473308,32.6730483
39.9472441,32.6733446
39.9466391,32.6754152
39.9459175,32.6778908
39.9456329,32.6788202
39.9452183,32.6801735
39.9448578,32.6812649
39.9445508,32.6823052
39.9441671,32.6834504
39.9439153,32.6840844
39.9436142,32.6847143
39.9430484,32.6859107
39.9425086,32.6870729
39.9421642,32.6878026
39.9421151,32.6879068
39.9420091,32.6881714
39.9414753,32.6895022
39.9411765,32.6904980
39.9409381,32.6913304
39.9405767,32.6925209
39.9405559,32.6925879
39.9402310,32.6935332
39.9400849,32.6938935
39.9399652,32.6941805
39.9397908,32.6945671
39.9397152,32.6947345
39.9392887,32.6955396
39.9392461,32.6956200
39.9388339,32.6962629
39.9385674,32.6966359
39.9384590,32.6967726
39.9340849,32.7022834
39.9328051,32.7038142
39.9322775,32.7044858
39.9320817,32.7047430
39.9319493,32.7049169
39.9311604,32.7060408
39.9311186,32.7061013
39.9306941,32.7067175
39.9299982,32.7075854
39.9293964,32.7084112
39.9289839,32.7090483
39.9285870,32.7097458
39.9285546,32.7098025
39.9284863,32.7099401
39.9283883,32.7101367
39.9282904,32.7103334
39.9282084,32.7104981
39.9280994,32.7107310
39.9280057,32.7109312
39.9278083,32.7113531
39.9277347,32.7115393
39.9276522,32.7117476
39.9275697,32.7119562
39.9274874,32.7121645
39.9274597,32.7122343
39.9271326,32.7131608
39.9269600,32.7136827
39.9266775,32.7147420
39.9263940,32.7160210
39.9261809,32.7170234
39.9261329,32.7172494
39.9259095,32.7183006
39.9258367,32.7186255
39.9257398,32.7190678
39.9256288,32.7196081
39.9254900,32.7202288
39.9253846,32.7207032
39.9252797,32.7212316
39.9251379,32.7220222
39.9250461,32.7226783
39.9250023,32.7230414
39.9249663,32.7233898
39.9249334,32.7237974
39.9249140,32.7240455
39.9248972,32.7244841
39.9248828,32.7250593
39.9248722,32.7255171
39.9248730,32.7257849
